Animal,Mapping
yellow-bellied slider,slider
eastern box turtle,turtles
eastern screech-owl,bird
red-shouldered hawk,bird
virginia opossum,marsupials
european starling,bird
eastern gray squirrel,rodents
american robin,bird
barn swallow,bird
mallard,bird
yellow-bellied sapsucker,bird
eastern fox squirrel,rodents
barred owl,owl
eastern bluebird,bird
pileated woodpecker,bird
bald eagle,bird
gray catbird,bird
white-tailed deer,even-toed ungulates & whales
eastern painted turtle,turtles
canada goose,bird
cooper's hawk,bird
sharp-shinned hawk,bird
black vulture,bird
eastern cottontail,rabbits & hares
mourning dove,bird
red fox,fox
snapping turtle,turtles
northern cardinal,bird
eastern ratsnake,ratsnake
striped skunk,skunk
red-tailed hawk,bird
house sparrow,bird
woodchuck,rodents
common grackle,bird
great horned owl,bird
turkey vulture,bird
double-crested cormorant,bird
rock dove,bird
raccoon,raccoon
broad-winged hawk,bird
common snapping turtle,turtles
hermit thrush,bird
great blue heron,bird
gray kingbird,kingbird
wild turkey,bird
wood duck,bird
eastern mud turtle,turtle
eastern river cooter,turtles
painted turtle,turtles
common musk turtle,turtle
northern mockingbird,bird
cedar waxwing,bird
gray fox,fox
eastern american toad,toad
lesser scaup,bird
eastern chipmunk,rodents
american goldfinch,bird
red-bellied woodpecker,bird
downy woodpecker,bird
red-eared slider,turtles
indigo bunting,bird
rose-breasted grosbeak,bird
yellow-billed cuckoo,bird
muscovy duck,bird
northern bobwhite,bird
ring-billed gull,bird
brown thrasher,thrasher
virginia rail,rail
eastern hog-nosed snake,snake
tufted titmouse,bird
american black bear,bear
american crow,bird
house finch,bird
chimney swift,bird
carolina wren,bird
eastern kingbird,bird
blue jay,bird
purple finch,bird
american kestrel,bird
osprey,bird
northern flicker,bird
fish crow,crow
northern rough-winged swallow,bird
american mink,mink
purple martin,martin
northern red-bellied cooter,cooter
red-eyed vireo,bird
hairy woodpecker,bird
white-throated sparrow,bird
chipping sparrow,bird
fox sparrow,bird
eastern red bat,bat
red-headed woodpecker,bird
coastal plain cooter,cooter
hooded merganser,bird
dekay's brown snake,snake
whip-poor-will,whip-poor-will
barn owl,owl
bog turtle,turtles
common raven,bird
baltimore oriole,bird
dark-eyed junco,bird
big brown bat,bats
eastern phoebe,bird
northern black racer,racer
tree swallow,bird
ring-necked dove,bird
common garter snake,snake
merlin,merlin
fowler's toad,frogs & toads
domestic rabbit,rabbits & hares
american toad,frogs & toads
sora,bird
common box turtle,turtles
white-footed mouse,rodents
ring-necked pheasant,bird
wood thrush,thrush
domestic duck,bird
