Animal,Mapping
american toad,toad
eastern american toad,toad
fowler's toad,toad
bald eagle,raptors
broad-winged hawk,raptors
cooper's hawk,raptors
red-shouldered hawk,raptors
red-tailed hawk,raptors
sharp-shinned hawk,raptors
osprey,raptors
wood duck,waterfowl
canada goose,waterfowl
domestic duck,waterfowl
hooded merganser,waterfowl
lesser scaup,waterfowl
mallard,waterfowl
muscovy duck,waterfowl
chimney swift,swift
whip-poor-will,nightjar
black vulture,vultures
turkey vulture,vultures
ring-billed gull,seabirds
rock dove,doves & pigeons
mourning dove,doves & pigeons
ring-necked dove,doves & pigeons
yellow-billed cuckoo,cuckoos
american kestrel,raptors
merlin,raptors
wild turkey,gamebirds
northern bobwhite,gamebirds
ring-necked pheasant,gamebirds
sora,rails
virginia rail,rails
cedar waxwing,songbirds
northern cardinal,songbirds
rose-breasted grosbeak,songbirds
blue jay,corvids
common raven,corvids
fish crow,corvids
american crow,corvids
american goldfinch,songbirds
house finch,songbirds
purple finch,songbirds
barn swallow,songbirds
northern rough-winged swallow,songbirds
purple martin,songbirds
tree swallow,songbirds
common grackle,songbirds
baltimore oriole,songbirds
brown thrasher,songbirds
gray catbird,songbirds
northern mockingbird,songbirds
tufted titmouse,songbirds
chipping sparrow,songbirds
dark-eyed junco,songbirds
fox sparrow,songbirds
indigo bunting,songbirds
white-throated sparrow,songbirds
house sparrow,songbirds
european starling,songbirds
carolina wren,songbirds
american robin,songbirds
eastern bluebird,songbirds
hermit thrush,songbirds
wood thrush,songbirds
eastern kingbird,songbirds
eastern phoebe,songbirds
gray kingbird,songbirds
red-eyed vireo,songbirds
great blue heron,heron
downy woodpecker,woodpeckers
hairy woodpecker,woodpeckers
northern flicker,woodpeckers
pileated woodpecker,woodpeckers
red-bellied woodpecker,woodpeckers
red-headed woodpecker,woodpeckers
yellow-bellied sapsucker,woodpeckers
barred owl,owls
eastern screech-owl,owls
great horned owl,owls
barn owl,owls
double-crested cormorant,cormorant
white-tailed deer,deer
gray fox,fox
red fox,fox
striped skunk,skunk
american mink,weasels
raccoon,raccoon
american black bear,bear
big brown bat,bats
eastern red bat,bats
virginia opossum,opossum
eastern cottontail,rabbits
domestic rabbit,rabbits
white-footed mouse,rodents
woodchuck,rodents
eastern chipmunk,rodents
eastern fox squirrel,rodents
eastern gray squirrel,rodents
common garter snake,snakes
dekay's brown snake,snakes
eastern hog-nosed snake,snakes
eastern ratsnake,snakes
northern black racer,snakes
common snapping turtle,turtles
snapping turtle,turtles
bog turtle,turtles
coastal plain cooter,turtles
common box turtle,turtles
eastern box turtle,turtles
eastern painted turtle,turtles
eastern river cooter,turtles
northern red-bellied cooter,turtles
painted turtle,turtles
red-eared slider,turtles
yellow-bellied slider,turtles
common musk turtle,turtles
eastern mud turtle,turtles
