Organization Name,Case Number,Patient ID,Common Species Name,Date Admitted,Circumstances of Rescue,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation,Disposition
Wildlife Center of Virginia,19-0041317,19-2111,Yellow-bellied Slider,7/10/2019,Collision / Moving object / Car/truck/motorcycle,VA,New Kent County,"1 Cooper Tavern Rd Suite A, Quinton, VA 23141, USA",0.3 miles from Tom Brooks Lake,37.5101482,-77.1908076,15.39515686,Released
Wildlife Center of Virginia,19-0051154,19-2546,Eastern Box Turtle,8/10/2019,Collision / Moving object / Car/truck/motorcycle,VA,Richmond (City),"1 E Belt Blvd, Richmond, VA 23224, USA",,37.5085315,-77.4859486,65.26921844,Released
Wildlife Center of Virginia,18-0002667,18-0026,Eastern Screech-Owl,1/11/2018,Collision / Moving object / Car/truck/motorcycle,VA,Bedford County,"1 Eagle Eyrie Dr, Lynchburg, VA 24503, USA",,,,,Transferred
Wildlife Center of Virginia,20-0045927,20-2103,Eastern Screech-Owl,6/25/2020,Collision / Moving object / Car/truck/motorcycle,VA,Waynesboro (City),"1 Solutions Way, Waynesboro, VA 22980, USA",,38.0912024,-78.8704652,384.6503906,Euthanized
Wildlife Center of Virginia,23-0014558,23-0938,Eastern Box Turtle,5/5/2023,Collision / Moving object / Car/truck/motorcycle,VA,Louisa County,"1 Woolfolk Ave Suite 101 Louisa, VA 23093",,38.02244568,-78.00526428,135.3739624,Released
Wildlife Center of Virginia,21-0007422,21-0207,Red-shouldered Hawk,3/5/2021,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"10 Colby Ave, Crimora, VA 24431, USA",,38.16001892,-78.8470993,393.5723877,Died
Wildlife Center of Virginia,22-0026436,22-1527,Eastern Box Turtle,6/3/2022,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Maplevale Dr, Palmyra, VA 22963, USA",,37.9168663,-78.33129883,121.9764938,Euthanized
Wildlife Center of Virginia,22-0046888,22-2794,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046889,22-2795,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046890,22-2796,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046891,22-2797,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046892,22-2798,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046893,22-2799,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77666473,-79.43383789,310.6322632,Transferred
Wildlife Center of Virginia,22-0046894,22-2800,Virginia Opossum,8/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",,37.77664948,-79.43384552,310.6562195,Transferred
Wildlife Center of Virginia,22-0063330,22-3604,Red-shouldered Hawk,12/8/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"10 Rocklawn Ln, Lexington, VA 24450, USA",Near Rt 11 Bypass,37.77666473,-79.43383789,310.6322632,Died
Wildlife Center of Virginia,21-0019995,21-1041,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Released
Wildlife Center of Virginia,21-0019996,21-1042,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Released
Wildlife Center of Virginia,21-0019997,21-1043,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Euthanized
Wildlife Center of Virginia,21-0019998,DOA21-0051,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Died
Wildlife Center of Virginia,21-0019999,DOA21-0052,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Died
Wildlife Center of Virginia,21-0020000,DOA21-0053,Virginia Opossum,5/7/2021,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"10 Slice Rd, Palmyra, VA 22963, USA",,37.89981842,-78.31402588,124.9373703,Died
