ObjectID,GlobalID,Date and Pickup Time,Deer and Bear Removal,Other wildlife types,Route,Latitude_d,Longitude_d,County,District,Residency,x,y,Date,Year,MonthName,MonthNumber,DOWName,DOWNumber,wildlife,Standardized route
1573,738575cf-7c6f-4e8b-871c-370b22e9511b,11/15/2022 5:41:11 PM,Deer,,I-64,37.7748447655593,-79.9785698693592,Alleghany County,Staunton,Lexington,-79.9785698693592,37.7748447655593,2022-11-15,2022,November,11,Tuesday,1,Deer,I-64
1819,830062e8-87f2-477e-a78d-7db5b5512cde,1/10/2023 8:21:52 PM,Deer,,I-64,38.0451155278295,-78.75023051805,Albemarle County,Culpeper,Charlottesville,-78.75023051805,38.0451155278295,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1818,36d8b147-116e-4d3e-8a2a-fbfb191abfb7,1/10/2023 8:14:39 PM,Deer,,I-64,38.0407662134221,-78.7153352195282,Albemarle County,Culpeper,Charlottesville,-78.7153352195282,38.0407662134221,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1817,099fff26-1fc7-4a92-a836-417b1f3fe7e5,1/10/2023 8:07:15 PM,Deer,,I-64,38.0317755493544,-78.6493841237679,Albemarle County,Culpeper,Charlottesville,-78.6493841237679,38.0317755493544,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1816,6f65b1fd-e00a-44fd-b4a6-9107f13e5da3,1/10/2023 8:01:38 PM,Deer,,I-64,38.0359170997228,-78.6111891085673,Albemarle County,Culpeper,Charlottesville,-78.6111891085673,38.0359170997228,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1815,d74db7d5-61e0-4f27-b609-de29fb58667e,1/10/2023 6:58:56 PM,Deer,,I-64,37.953710016852,-78.1432394926982,Albemarle County,Culpeper,Charlottesville,-78.1432394926982,37.953710016852,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1813,92bfb3b5-b248-495b-8d4d-3ed620e5ad31,1/10/2023 1:24:52 PM,Other,Coyote,I-64,37.7770130848864,-79.9726589956134,Alleghany County,Staunton,Lexington,-79.9726589956134,37.7770130848864,2023-01-10,2023,January,1,Tuesday,1,Coyote,I-64
1812,1e89a34e-ad0b-43b4-90b5-a4851a8bfce4,1/9/2023 7:39:33 PM,Deer,,I-64,37.781889466604,-79.9080083706229,Alleghany County,Staunton,Lexington,-79.9080083706229,37.781889466604,2023-01-09,2023,January,1,Monday,0,Deer,I-64
1811,e55825c1-4957-401a-9ab0-8ec4316903b1,1/9/2023 3:58:38 PM,Deer,,I-64,37.7962493327026,-79.4059544522067,Rockbridge County,Staunton,Lexington,-79.4059544522067,37.7962493327026,2023-01-09,2023,January,1,Monday,0,Deer,I-64
1810,b4ca69e6-4657-4d79-81bb-fc6888a584ed,1/9/2023 3:46:37 PM,Deer,,I-64,37.7968892134739,-79.4071685546113,Rockbridge County,Staunton,Lexington,-79.4071685546113,37.7968892134739,2023-01-09,2023,January,1,Monday,0,Deer,I-64
1808,c8f52c6a-7dcd-423e-a75a-bce58bad1bc4,1/8/2023 7:31:44 PM,Deer,,I-64,38.0201097609655,-78.4335521013029,Albemarle County,Culpeper,Charlottesville,-78.4335521013029,38.0201097609655,2023-01-08,2023,January,1,Sunday,6,Deer,I-64
1807,40b1266d-6685-494f-b498-139d8ef19671,1/8/2023 7:30:29 PM,Deer,,I-64,38.0201065501176,-78.4335543649357,Albemarle County,Culpeper,Charlottesville,-78.4335543649357,38.0201065501176,2023-01-08,2023,January,1,Sunday,6,Deer,I-64
1804,d42a8195-8d5c-4008-a23a-c24e34c9d850,1/6/2023 7:25:33 PM,Deer,,I-64,37.8021215873324,-79.417536442081,Rockbridge County,Staunton,Lexington,-79.417536442081,37.8021215873325,2023-01-06,2023,January,1,Friday,4,Deer,I-64
1803,dc1e6f50-1360-4c4c-bec7-c48dbe189375,1/6/2023 3:59:45 PM,Deer,,I-64,37.7927513234669,-79.8837166932224,Alleghany County,Staunton,Lexington,-79.8837166932224,37.7927513234669,2023-01-06,2023,January,1,Friday,4,Deer,I-64
1799,ba625a3c-1c0e-46bd-a9af-f327d4506cc6,1/4/2023 3:46:09 PM,Bear,,I-64,37.8973259874238,-79.5729048484547,Rockbridge County,Staunton,Lexington,-79.5729048484547,37.8973259874238,2023-01-04,2023,January,1,Wednesday,2,Bear,I-64
1798,1cb62fa5-6f9f-4cb8-b695-05a0f320cd34,1/4/2023 2:55:06 PM,Bear,,I-64,37.7822418418133,-80.0097114500403,Alleghany County,Staunton,Lexington,-80.0097114500403,37.7822418418133,2023-01-04,2023,January,1,Wednesday,2,Bear,I-64
1797,51be8e7a-2558-4748-a19a-effd1e84a603,1/4/2023 2:11:41 PM,Deer,,I-64,37.802915448324,-79.417670589419,Rockbridge County,Staunton,Lexington,-79.417670589419,37.802915448324,2023-01-04,2023,January,1,Wednesday,2,Deer,I-64
1794,6713a887-ed98-460b-a623-de37ec8a3434,1/3/2023 6:21:21 PM,Bear,,I-64,37.8028130438531,-80.1981911157073,Alleghany County,Staunton,Lexington,-80.1981911157073,37.8028130438531,2023-01-03,2023,January,1,Tuesday,1,Bear,I-64
1820,f3c81b9e-63e1-4fcc-90b7-387091b11c36,1/10/2023 8:32:47 PM,Deer,,I-64,38.0436619851829,-78.8191376158012,Albemarle County,Culpeper,Charlottesville,-78.8191376158012,38.0436619851829,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1821,04c6ba1d-83e2-4187-a869-dbe398137158,1/10/2023 8:52:59 PM,Deer,,I-64,38.0096063597138,-78.4814886158576,Albemarle County,Culpeper,Charlottesville,-78.4814886158576,38.0096063597138,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1822,3e7ee34f-2cb8-426c-9050-6b84a88ce0bc,1/10/2023 8:57:07 PM,Deer,,I-64,38.0160307589463,-78.4551270376854,Albemarle County,Culpeper,Charlottesville,-78.4551270376854,38.0160307589463,2023-01-10,2023,January,1,Tuesday,1,Deer,I-64
1823,cfdd8eb9-b61a-4482-9195-67e38017d8f4,1/11/2023 3:36:56 PM,Deer,,I-64,37.8170276200751,-79.4410781935597,Rockbridge County,Staunton,Lexington,-79.4410781935597,37.8170276200751,2023-01-11,2023,January,1,Wednesday,2,Deer,I-64
