OrganizationName,CaseNumber,PatientID,CommonSpeciesName,DateAdmitted,Latitude,Longitude,Disposition,GeneralSpeciesName,Vertebrate,DateAdmittedYear,Season,DateAdmittedMonth,DateAdmittedDOM,DateAdmittedDOW,DayOfWeekNumber,MonthNumber
Wildlife Center of Virginia,19-0041317,19-2111,yellow-bellied slider,7/10/2019,37.5101482,-77.1908076,Released,turtle,Reptile,2019,Summer,July,10,Wednesday,2,7
Wildlife Center of Virginia,19-0051154,19-2546,eastern box turtle,8/10/2019,37.5085315,-77.4859486,Released,turtle,Reptile,2019,Summer,August,10,Saturday,5,8
Wildlife Center of Virginia,20-0045927,20-2103,eastern screech-owl,6/25/2020,38.0912024,-78.8704652,Euthanized,bird,Bird,2020,Summer,June,25,Thursday,3,6
Wildlife Center of Virginia,23-0014558,23-0938,eastern box turtle,5/5/2023,38.02244568,-78.00526428,Released,turtle,Reptile,2023,Spring,May,5,Friday,4,5
Wildlife Center of Virginia,21-0007422,21-0207,red-shouldered hawk,3/5/2021,38.16001892,-78.8470993,Died,bird,Bird,2021,Winter,March,5,Friday,4,3
Wildlife Center of Virginia,22-0026436,22-1527,eastern box turtle,6/3/2022,37.9168663,-78.33129883,Euthanized,turtle,Reptile,2022,Spring,June,3,Friday,4,6
Wildlife Center of Virginia,22-0046888,22-2794,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046889,22-2795,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046890,22-2796,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046891,22-2797,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046892,22-2798,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046893,22-2799,virginia opossum,8/14/2022,37.77666473,-79.43383789,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0046894,22-2800,virginia opossum,8/14/2022,37.77664948,-79.43384552,Transferred,marsupial,Mammal,2022,Summer,August,14,Sunday,6,8
Wildlife Center of Virginia,22-0063330,22-3604,red-shouldered hawk,12/8/2022,37.77666473,-79.43383789,Died,bird,Bird,2022,Autumn,December,8,Thursday,3,12
Wildlife Center of Virginia,21-0019995,21-1041,virginia opossum,5/7/2021,37.89981842,-78.31402588,Released,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0019996,21-1042,virginia opossum,5/7/2021,37.89981842,-78.31402588,Released,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0019997,21-1043,virginia opossum,5/7/2021,37.89981842,-78.31402588,Euthanized,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0019998,DOA21-0051,virginia opossum,5/7/2021,37.89981842,-78.31402588,Died,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0019999,DOA21-0052,virginia opossum,5/7/2021,37.89981842,-78.31402588,Died,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0020000,DOA21-0053,virginia opossum,5/7/2021,37.89981842,-78.31402588,Died,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
Wildlife Center of Virginia,21-0020001,DOA21-0054,virginia opossum,5/7/2021,37.89981842,-78.31402588,Died,marsupial,Mammal,2021,Spring,May,7,Friday,4,5
