Animal,Mapping
yellow-bellied slider,turtle
eastern box turtle,turtle
eastern screech-owl,bird
red-shouldered hawk,bird
virginia opossum,marsupial
european starling,bird
eastern gray squirrel,rodent
american robin,bird
barn swallow,bird
mallard,bird
yellow-bellied sapsucker,bird
eastern fox squirrel,rodent
barred owl,owl
eastern bluebird,bird
pileated woodpecker,bird
bald eagle,bird
gray catbird,bird
white-tailed deer,deer
eastern painted turtle,turtle
canada goose,bird
cooper's hawk,bird
sharp-shinned hawk,bird
black vulture,bird
eastern cottontail,rabbits & hares
mourning dove,bird
red fox,fox
snapping turtle,turtle
northern cardinal,bird
eastern ratsnake,snake
striped skunk,skunk
red-tailed hawk,bird
house sparrow,bird
woodchuck,rodent
common grackle,bird
great horned owl,bird
turkey vulture,bird
double-crested cormorant,bird
rock dove,bird
raccoon,raccoon
broad-winged hawk,bird
common snapping turtle,turtle
hermit thrush,bird
great blue heron,bird
gray kingbird,bird
wild turkey,bird
wood duck,bird
eastern mud turtle,turtle
eastern river cooter,turtle
painted turtle,turtle
common musk turtle,turtle
northern mockingbird,bird
cedar waxwing,bird
gray fox,fox
eastern american toad,toad
lesser scaup,bird
eastern chipmunk,rodent
american goldfinch,bird
red-bellied woodpecker,bird
downy woodpecker,bird
red-eared slider,turtle
indigo bunting,bird
rose-breasted grosbeak,bird
yellow-billed cuckoo,bird
muscovy duck,bird
northern bobwhite,bird
ring-billed gull,bird
brown thrasher,bird
virginia rail,bird
eastern hog-nosed snake,snake
tufted titmouse,bird
american black bear,bear
american crow,bird
house finch,bird
chimney swift,bird
carolina wren,bird
eastern kingbird,bird
blue jay,bird
purple finch,bird
american kestrel,bird
osprey,bird
northern flicker,bird
fish crow,bird
northern rough-winged swallow,bird
american mink,mink
purple martin,bird
northern red-bellied cooter,turtle
red-eyed vireo,bird
hairy woodpecker,bird
white-throated sparrow,bird
chipping sparrow,bird
fox sparrow,bird
eastern red bat,bat
red-headed woodpecker,bird
coastal plain cooter,turtle
hooded merganser,bird
dekay's brown snake,snake
whip-poor-will,bird
barn owl,owl
bog turtle,turtle
common raven,bird
baltimore oriole,bird
dark-eyed junco,bird
big brown bat,bats
eastern phoebe,bird
northern black racer,snake
tree swallow,bird
ring-necked dove,bird
common garter snake,snake
merlin,bird
fowler's toad,frogs & toads
domestic rabbit,rabbits & hares
american toad,frogs & toads
sora,bird
common box turtle,turtle
white-footed mouse,rodent
ring-necked pheasant,bird
wood thrush,thrush
domestic duck,bird
american black vulture,bird
belted kingfisher,bird
black rat snake,snake
black-capped chickadee,bird
bobwhite quail,bird
brown-headed cowbird,bird
central ratsnake,snake
common nighthawk,bird
corn snake,snake
coyote,coyote
eastern musk turtle,turtle
eastern screech owl,owl
grey fox,fox
groundhog,rodent
hoary bat,bat
northern raccoon,raccoon
northern saw-whet owl,owl
peregrine falcon,bird
red bat,bat
red-winged blackbird,bird
ruddy duck,bird
short-eared owl,owl
song sparrow,bird
timber rattlesnake,snake
unidentified mouse,rodent
wood turtle,turtle
woodland box turtle,turtle
