patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
"Halfway Rd, approx 1 mile south of Fauquier Co line",2016-01-01 20:36:00,JB,Middleburg,,Virginia Opossum,Fauquier,"HBV, head trauma",Died in 24hr,2016-01-01,,38.960822,-77.741824,--,,,"helpless in road, limited mobility, appeared to hav been struck by vehicle",,Didelphis,virginiana
10378 Wheatley School Road,2016-01-06 20:00:00,HS,Marshall,,Turkey Vulture,Fauquier County,S – Non-infectious disease,Euthanized +24hr,2016-01-02,,38.719147,-77.942988,--,,blind OU - detached retinas,"could not fly, fell from tree, seemed disoriented",,Cathartes,aura
Bakerton Rd one mile from 340,2016-01-06 23:30:00,HS,Harper's Ferry,,Black Vulture,Jefferson County,H- Hit by vehicle,Died in 24hr,2016-01-06,,-77.738882,39.325379,--,,,"Found by the side of the road, not standing",,Coragyps,atratus
436 E Piccadilly St,2016-01-08 23:15:00,JA,Winchester,,Eastern Gray Squirrel,,P- Predator attack,Died +24hr,2016-01-08,suspected predator attack,-78.157186,39.18454,--,,,Injured back legs,,Sciurus,carolinensis
19549 Manor Dr,2016-01-09 23:40:00,JA,Culpeper,,Mourning Dove,Culpeper County,D- Domestic animal attack,Died in 24hr,2016-01-09,cat attack,38.430987,-78.083462,--,,,Cat got him,,Zenaida,macroura
215 Sylvan Ln,2016-01-09 23:30:00,JA,Harper's Ferry,,Downy Woodpecker,Jefferson County,D- Domestic animal attack,Died in 24hr,2016-01-06,cat attack,39.234655,-77.793167,--,,,"Can't fly, falling out of trees",,Dryobates,pubescens
34058 Snickersville Turnpike,2016-01-09 00:40:00,JA,Bluemont,,Eastern Chipmunk,Loudoun County,D- Domestic animal attack,Died +24hr,2016-01-09,cat attack,39.10597,-77.823438,--,,,Attacked by outdoor cat,,Tamias,striatus
8249 Supinlick Ridge Road,2016-01-10 23:45:00,HS,Mount Jackson,,Big Brown Bat,Shenandoah County,"M - human, non-intentional",Released,2016-01-10,,38.822899,-78.746116,--,,,"stuck between 2 boards, right wing was trapped in door",,Eptesicus,fuscus
Lucketts Gasmart,2016-01-14 16:00:00,HS,Lucketts,,Barred Owl,Loudoun County,H- Hit by vehicle,Euthanized in 24hr,2016-01-14,,39.219637,-77.523534,--,used gloves,poor prognosis,Broken leg,,Strix,varia
23462 Potts Mill Rd,2016-01-14 21:00:00,HS,Middleburg,,Black Vulture,Loudoun County,I - Infectious disease,Euthanized +24hr,2016-01-14,suspected mycoplasma,38.969097,-77.691809,--,,Poor Prognosis,Can't fly,,Coragyps,atratus
Buck Hill Rd,2016-01-15 17:50:00,HS,Hedgesville,,Barred Owl,Berkeley County,H- Hit by vehicle,Released,2016-01-15,,39.400742,-78.115627,--,,,In the middle of the road,Hard,Strix,varia
105 W Main Street,2016-01-15 17:43:00,JB,Front Royal,,House Sparrow,Warren County,X- Invasive,Euthanized in 24hr,2016-01-15,,38.918682,-78.194848,--,used gloves to capture,invasive,"Was found in the road, not able to fly",,Passer,domesticus
56 Thunder Road,2016-01-15 00:30:00,JB,Front Royal,,Big Brown Bat,Warren County,T- Unknown trauma,Euthanized in 24hr,2016-01-15,,38.870793,-78.26845,--,,Poor Prognosis,"In our basement, appeared to have a broken wing",,Eptesicus,fuscus
Mom's Restaurant,2016-01-18 19:45:00,HS/JR,Front Royal,,Cooper's Hawk,Warren County,W- Window strike,Released,2016-01-18,,38.928308,-78.174537,--,,,"Could not fly, found on ground by window",Hard,Accipiter,cooperii
2432 Chestnut Hill Rd,2016-01-18 19:45:00,HS,Harper's Ferry,,Yellow-bellied Sapsucker,,"M - human, non-intentional",Euthanized in 24hr,2016-01-17,trapped with string,,,--,,Poor Prognosis,Stuck on bush with wrapped around leg,,Sphyrapicus,varius
225 Pine Shores Drive,2016-01-18 00:45:00,JA,Front Royal,,Northern Cardinal,Warren County,W- Window Strike,Released,2016-01-18,,38.963015,-78.141147,--,,,Looked like it was hurt,Hard,Cardinalis,cardinalis
Intersection of Battlefield Pkwy and Route15,2016-01-19 19:00:00,HS,Leesburg,,American Robin,Loudoun County,H- Hit by vehicle,Released,2016-01-19,,39.041987,-77.605404,--,,,"Stuck to ground in the middle of the road, could not move",Hard,Turdus,migratorius
3102 Shawnee Dr,2016-01-20 18:45:00,HS/JR,Winchester,,American Kestrel,Frederick County,T- Unknown trauma,Euthanized +24hr,2016-01-20,,39.134599,-78.181051,,,poor prognisis,"Running around hiding in bushes, not flying when approached",,Falco,sparverius
644 Lime Marl Road,2016-01-21 17:20:00,JB,Millwood,,Northern Mockingbird,Clarke County,D- Domestic animal attack,Died +24hr,2016-01-21,cat attack,39.092307,-78.008188,--,,,Cat attack,,Mimus,polyglottos
9 Early Ave,2016-01-25 21:15:00,JA,Round Hill,,House Finch,Loudoun County,"M - human, non-intentional",Euthanized in 24hr,2016-01-23,trapped in bird feeder,39.138875,-77.773105,--,,Poor Prognosis,Stuck on bird feeder,,Haemorhous,mexicanus
Hh,2016-03-14 16:00:00,Hh,Hh,,Mourning Dove,,,Released,2016-03-14,,37.522251,-78.668194,,,,Hh,,Zenaida,macroura
474 Woodchuck Lane,2016-01-27 17:01:00,JB/JR,Winchester,,Mourning Dove,Frederick County,T- Unknown trauma,Dead on arrival,2016-01-26,,39.18258,-78.231773,--,used bare hands,,"Wasn't moving, couldn't fly or walk in the snow",,Zenaida,macroura
88 Mosby Meadow Ln,2016-01-29 22:50:00,JA/JR,Front Royal,,Hermit Thrush,Warren County,W- Window strike,Died +24hr,2016-01-29,,39.005393,-78.0471,--,,,Flew into window,,Catharus,guttatus
476 Montana Hall Lane,2016-01-30 18:15:00,JA/JR,White Post,,Eastern Meadowlark,Clarke County,T- Unknown trauma,Died in 24hr,2016-01-30,,39.032241,-78.07094,--,,,Injured in the barn,,Sturnella,magna
unknown,2016-01-30 18:40:00,JA/JR,Clear Brook,,Eastern Bluebird,Frederick County,W- Window strike,Died in 24hr,2016-01-29,,39.271865,-78.099763,--,,,Unable to fly,,Sialia,sialis
Oo,2016-03-14 16:06:00,Oo,Oo,,Unidentified Bird,,,Released,2016-03-14,,37.522251,-78.668194,,,,Oo,,,
6048 Slippery Rock Road,2016-01-31 22:46:00,JA/JR,Haymarket,,Turkey Vulture,Prince William County,T- Unknown trauma,Euthanized +24hr,2016-01-31,,38.825002,-77.63615,--,,Poor Prognosis,Left wing hurt,,Cathartes,aura
229 Glenridge Dr,2016-02-01 18:20:00,JA,Winchester,,White-breasted Nuthatch,Frederick County,"M - human, non-intentional",Released,2016-02-01,oil,39.159027,-78.095784,--,,,"Oily stuff on wings, not flying well",,Sitta,carolinensis
"Rt 15, 2 miles past Whites Ferry",2016-02-01 23:35:00,JA,Lucketts,,Red-shouldered Hawk,,H- Hit by vehicle,Transferred,2016-01-30,,,,--,,,Laying on the side of the road not moving,,Buteo,lineatus
Leesburg Outlet Mall,2016-02-02 19:00:00,JB,Leesburg,,Cooper's Hawk,Loudoun County,W- Window strike,Dead on arrival,2016-02-02,,39.110441,-77.560016,--,,,"Found outside near large window, did not move for several hours",,Accipiter,cooperii
Loudoun County,2016-02-02 01:15:00,JB,unknown,,Turkey Vulture,,T- Unknown trauma,Euthanized in 24hr,2016-02-02,,,,--,,"old fx, no treatment",Not flying,,Cathartes,aura
Vauclose Rd,2016-02-03 17:30:00,HS,Stephen's City,,Common Loon,Frederick County,N- Natural event,Released,2016-02-03,grounded,39.062567,-78.254516,--,,,"Found grounded in driveway, only been down about 10 mins",,Gavia,immer
Middleburg Training Center,2016-02-03 20:15:00,HS,Middleburg,,Eastern Bluebird,Loudoun County,H- Hit by vehicle,Released,2016-02-03,,39.049416,-77.519471,--,,,Found laying in middle of road not moving,,Sialia,sialis
761 Old Charlestown Rd,2016-02-04 23:00:00,HS,Stephenson,,Northern Cardinal,,H- Hit by vehicle,Died +24hr,2016-02-04,,,,--,,,Found laying on side of the road,,Cardinalis,cardinalis
481 Greatland Farm,2016-02-04 20:00:00,JB,Middletown,,Milk Snake,Warren County,"M - human, non-intentional",Died +24hr,2016-02-04,trapped,38.988482,-78.281264,--,,,"Don't want in the house, possibly injured during capture",,Lampropeltis,triangulum
Toys R Us at Potomac Run Plaza,2016-02-05 01:00:00,HS,Sterling,,Big Brown Bat,Montgomery County,N - Natural event,Released,2016-02-04,,-77.208591,39.018165,--,,,Found on the side of the road,,Eptesicus,fuscus
Richmond Rd area of Laurel Mills,2016-02-05 01:00:00,HS,Castleton,,Bald Eagle,Rappahannock,H- Hit by vehicle,Transferred,2016-02-04,,-73.179832,43.610622,--,,,found on the side of the road,,Haliaeetus,leucocephalus
intersection of Elm and Franklin St,2016-02-06 00:00:00,JA,Winchester,,Cooper's Hawk,,H- Hit by vehicle,Euthanized in 24hr,2016-02-06,,-78.1448,39.181479,--,,poor prognosis,injured left wing,,Accipiter,cooperii
Gordon Rd,2016-02-06 00:50:00,JA,Fredericksburg,,Great Blue Heron,Spotsylvania County,H- Hit by vehicle,Euthanized +24hr,2016-02-06,,-77.577312,38.270378,--,,no improvement on head trauma - would not survive surgery,"heron was found on the roadside, likely struck by a vehicle. It was transported to Spotsylvania Animal Shelter by ACO",,Ardea,herodias
Rt 9 W near regional jail and the start of the bike path,2016-02-10 18:30:00,HS/JB,Martinsburg,,Great Horned Owl,,H - Hit by vehicle,Released,2016-02-10,,,,--,,,"Sitting along busy main road, able to walk right up to it",Hard,Bubo,virginianus
353 Thistle Lane,2016-02-10 01:00:00,HS/JB,Clear Brook,,Red-tailed Hawk,Frederick County,H- Hit by vehicle,Transferred,2016-02-10,,39.273452,-78.095567,--,,,"Found on ground, wing appears injured",,Buteo,jamaicensis
Blandy Experimental Farm,2016-02-11 20:15:00,JB,Boyce,,Mourning Dove,Clarke County,P - Predator attack,Released,2016-02-11,,39.048614,-78.060132,--,,,"suspect hawk strike, found on the ground with wounds",Hard,Zenaida,macroura
--,2016-02-11 21:30:00,JB,Mt Jackson,,Cooper's Hawk,Shenandoah County,T - Unknown trauma,Euthanized +24hr,2016-02-10,,-78.642238,38.745948,--,,Poor Prognosis,Found under log pile,,Accipiter,cooperii
"Springs Rd, 1/2 mi from Opal Road",2016-02-13 22:00:00,JB,Warrenton,,Red-shouldered Hawk,Fauquier County,H - Hit by vehicle,Released,2016-02-13,,38.690077,-77.833481,--,,,Hit by car,Hard,Buteo,lineatus
45871 Debhill Terrace,2016-02-14 18:00:00,HS/JB,Sterling,,Northern Raccoon,Loudoun County,T- Unknown trauma,Euthanized +24hr,2016-02-13,,39.03381,-77.413303,--,,no improvement,"Looked skinny and really young, no parents, very wobbly, have seen for approx a month",,Procyon,lotor
67 Cedar Mountain,2016-02-14 18:00:00,HS,Front Royal,,Northern Cardinal,Warren County,W- Window strike,Died in 24hr,2016-02-14,,38.932457,-78.227891,--,,,"Hit window, can use wings but not feet",,Cardinalis,cardinalis
