OrganizationName,CaseNumber,PatientID,CommonSpeciesName,GeneralSpeciesName,Vertebrate,DateAdmitted,DateAdmittedYear,Season,DateAdmittedMonth,DateAdmittedDOM,DateAdmittedDOW,Latitude,Longitude,Disposition,DayOfWeekNumber,MonthNumber,RescueJurisdiction
WRMD,WRMD2016-1,,virginia opossum,marsupial,Mammal,01/01/2016,2016,Winter,January,1,Friday,38.960822,-77.741824,Died,4,1,Fauquier County
WRMD,WRMD2016-3,,black vulture,bird,Bird,01/06/2016,2016,Winter,January,6,Wednesday,39.325379,-77.738882,Died,2,1,Jefferson County
WRMD,WRMD2016-9,,barred owl,owl,Bird,01/14/2016,2016,Winter,January,14,Thursday,39.219637,-77.523534,Euthanized,3,1,Loudoun County
WRMD,WRMD2016-11,,barred owl,owl,Bird,01/15/2016,2016,Winter,January,15,Friday,39.400742,-78.115627,Released,4,1,Berkeley County
WRMD,WRMD2016-17,,american robin,bird,Bird,01/19/2016,2016,Winter,January,19,Tuesday,39.041987,-77.605404,Released,1,1,Loudoun County
WRMD,WRMD2016-33,,eastern bluebird,bird,Bird,02/03/2016,2016,Winter,February,3,Wednesday,39.049416,-77.519471,Released,2,2,Loudoun County
WRMD,WRMD2016-38,,cooper's hawk,bird,Bird,02/06/2016,2016,Winter,February,6,Saturday,39.181479,-78.1448,Euthanized,5,2,Winchester city
WRMD,WRMD2016-39,,great blue heron,bird,Bird,02/06/2016,2016,Winter,February,6,Saturday,38.270378,-77.577312,Euthanized,5,2,Spotsylvania County
WRMD,WRMD2016-41,,red-tailed hawk,bird,Bird,02/10/2016,2016,Winter,February,10,Wednesday,39.273452,-78.095567,Transferred,2,2,Frederick County
WRMD,WRMD2016-44,,red-shouldered hawk,bird,Bird,02/13/2016,2016,Winter,February,13,Saturday,38.690077,-77.833481,Released,5,2,Fauquier County
WRMD,WRMD2016-47,,northern cardinal,bird,Bird,02/14/2016,2016,Winter,February,14,Sunday,39.206553,-77.576807,Died,6,2,Loudoun County
WRMD,WRMD2016-51,,red-shouldered hawk,bird,Bird,02/18/2016,2016,Winter,February,18,Thursday,39.169668,-78.16856,Released,3,2,Winchester city
WRMD,WRMD2016-54,,eastern cottontail,rabbits & hares,Mammal,02/22/2016,2016,Winter,February,22,Monday,39.135711,-77.991926,Euthanized,0,2,Clarke County
WRMD,WRMD2016-56,,red-shouldered hawk,bird,Bird,02/24/2016,2016,Winter,February,24,Wednesday,39.111266,-77.835161,Died,2,2,Loudoun County
WRMD,WRMD2016-67,,turkey vulture,bird,Bird,03/05/2016,2016,Winter,March,5,Saturday,39.204706,-78.338584,Released,5,3,Frederick County
WRMD,WRMD2016-74,,eastern gray squirrel,rodent,Mammal,03/10/2016,2016,Winter,March,10,Thursday,39.180985,-78.109977,Died,3,3,Frederick County
WRMD,WRMD2016-77,,eastern cottontail,rabbits & hares,Mammal,03/11/2016,2016,Winter,March,11,Friday,39.168533,-78.122433,Died,4,3,Frederick County
WRMD,WRMD2016-107,,black vulture,bird,Bird,03/27/2016,2016,Spring,March,27,Sunday,39.134272,-77.662492,Euthanized,6,3,Loudoun County
WRMD,WRMD2016-127,,eastern gray squirrel,rodent,Mammal,04/01/2016,2016,Spring,April,1,Friday,38.960049,-78.305175,Died,4,4,Warren County
WRMD,WRMD2016-150,,northern raccoon,raccoon,Mammal,04/06/2016,2016,Spring,April,6,Wednesday,38.847926,-78.340405,Died,2,4,Warren County
WRMD,WRMD2016-159,,eastern gray squirrel,rodent,Mammal,04/08/2016,2016,Spring,April,8,Friday,38.962661,-77.884726,Euthanized,4,4,Fauquier County
WRMD,WRMD2016-175,,groundhog,rodent,Mammal,04/12/2016,2016,Spring,April,12,Tuesday,38.921149,-78.19413,Euthanized,1,4,Warren County
WRMD,WRMD2016-187,,red-headed woodpecker,bird,Bird,04/15/2016,2016,Spring,April,15,Friday,38.026758,-78.004605,Released,4,4,Louisa County
WRMD,WRMD2016-206,,northern cardinal,bird,Bird,04/18/2016,2016,Spring,April,18,Monday,38.987906,-78.348577,Euthanized,0,4,Shenandoah County
WRMD,WRMD2016-209,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.28749,-77.621209,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-210,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.28749,-77.621209,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-211,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.28749,-77.621209,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-212,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.28749,-77.621209,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-213,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.28749,-77.621209,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-214,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-215,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-216,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-217,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-218,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-219,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-220,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-221,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-222,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-223,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-224,,virginia opossum,marsupial,Mammal,04/18/2016,2016,Spring,April,18,Monday,39.085309,-77.645224,Euthanized,0,4,Loudoun County
WRMD,WRMD2016-232,,virginia opossum,marsupial,Mammal,04/19/2016,2016,Spring,April,19,Tuesday,39.248489,-77.686801,Euthanized,1,4,Loudoun County
WRMD,WRMD2016-233,,virginia opossum,marsupial,Mammal,04/19/2016,2016,Spring,April,19,Tuesday,39.248489,-77.686801,Euthanized,1,4,Loudoun County
WRMD,WRMD2016-283,,house finch,bird,Bird,04/23/2016,2016,Spring,April,23,Saturday,39.395781,-78.274149,Euthanized,5,4,Frederick County
WRMD,WRMD2016-304,,pileated woodpecker,bird,Bird,04/26/2016,2016,Spring,April,26,Tuesday,39.255758,-78.045981,Died,1,4,Frederick County
WRMD,WRMD2016-306,,northern cardinal,bird,Bird,04/26/2016,2016,Spring,April,26,Tuesday,39.005272,-77.755664,Euthanized,1,4,Loudoun County
WRMD,WRMD2016-317,,virginia opossum,marsupial,Mammal,04/27/2016,2016,Spring,April,27,Wednesday,38.918167,-78.194445,Euthanized,2,4,Warren County
WRMD,WRMD2016-318,,virginia opossum,marsupial,Mammal,04/27/2016,2016,Spring,April,27,Wednesday,38.918167,-78.194445,Euthanized,2,4,Warren County
WRMD,WRMD2016-319,,virginia opossum,marsupial,Mammal,04/27/2016,2016,Spring,April,27,Wednesday,38.918167,-78.194445,Euthanized,2,4,Warren County
WRMD,WRMD2016-320,,virginia opossum,marsupial,Mammal,04/27/2016,2016,Spring,April,27,Wednesday,38.918167,-78.194445,Euthanized,2,4,Warren County
WRMD,WRMD2016-321,,virginia opossum,marsupial,Mammal,04/27/2016,2016,Spring,April,27,Wednesday,38.918167,-78.194445,Euthanized,2,4,Warren County
