Report Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,Organization Address,Organization City,Organization State,Organization ZIP,Jurisdiction,Organization Country,Phone,Status,Case Number,Patient ID,Other Idenifier,Class,Common Species Name,Species,Subspecies,Genus,TSN Code,Gender,Patient Flag,Date Found,Time Found,Date Admitted,Time Admitted,Details of rescue,Care Given,Circumstances of Rescue,Primary,Suspected/Observed,Admission Comments,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000095,Mr. Cracky,,Reptiles,Brown Wood Turtle,annulata,,Rhinoclemmys,551854,Male,,09/01/2010,9:50 AM,09/23/2010,3:32 PM,Ms. Nicholson found the turtle almost 1 month ago and has been keeping the turtle in her house and feeding it hotdogs and fruitloops. The turtle recently became agressive and bit her grandchild hence the reason for admitting the animal for rehabilitation.,,Collision / Moving object,Yes,Suspected,,ID,Boise County,,,43.612475642001,-116.216783740784,817.0566406
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000096,Lil' Red,,Birds,Vermilion Flycatcher,rubinus,,Pyrocephalus,178371,Male,,09/22/2010,,09/23/2010,4:14 PM,Hit the picture window of the doublewide. Looks stunned and there was blood in the eye. Mr. Brooks picked up the bird so the cats wouldn't eat it. Fed the bird water and sunflower seeds.,,Collision / Stationary object / Walls/windows,Yes,Suspected,,TX,Brown County,,,28.778392247096,-89.033203125,-403.7702942
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000106,RTHA 111,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Undetermined,,10/01/2010,,10/01/2010,10:03 PM,On side of road,,Collision / Moving object / Car/truck/motorcycle,Yes,Suspected,,FL,Duval County/City of Jacksonville,,,39.74928244225,-84.194841538262,224.7423401
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000110,10-1245,,Birds,Blue Jay,cristata,,Cyanocitta,179680,Undetermined,,10/13/2010,,10/13/2010,4:59 PM,found at front door,,Animal interaction / Domestic animal / Cat,No,Observed,,MN,Dakota County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000110,10-1245,,Birds,Blue Jay,cristata,,Cyanocitta,179680,Undetermined,,10/13/2010,,10/13/2010,4:59 PM,found at front door,,Entrapment / Trap / Glue Trap,Yes,Suspected,,MN,Dakota County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000115,squirrel-02,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,11/16/2010,8:00 AM,11/16/2010,2:12 PM,Hampton Animal control picked up squirrel and dropped off on door step,,"Orphan, true / Parents not available",Yes,Suspected,,VA,Hampton (City),,,38.9518868,-77.3312517,119.2942429
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000116,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,11/16/2010,7:30 AM,11/16/2010,3:43 PM,Someone dropped off at a rehabbers front door with a note attached. They had to get to work. No names given.,,Animal interaction / Non-domestic animal / Different species,Yes,Observed,Crows may have robbed the squirrels nest,VA,Augusta County,,,38.148958652625,-79.025203235443,428.4992065
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000121,10-8430,,Mammals,southern flying squirrel,volans,,Glaucomys,180170,Undetermined,,11/20/2010,2:00 PM,11/20/2010,5:55 PM,found outside circling,,Undetermined,Yes,Suspected,,MN,Ramsey County,,,45.1199652,-93.2877277,261.6252441
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000128,BARRED-01,,Birds,Barred Owl,varia,,Strix,177921,Undetermined,,11/28/2010,5:00 PM,11/28/2010,4:50 PM,Brought in to center,,Entrapment / Non-trap,Yes,Observed,Stuck on barbed wre,MD,Baltimore County,,,39.674309549701,-76.744610601189,222.0465851
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000130,12345,,Birds,Turkey Vulture,aura,,Cathartes,175265,Undetermined,,12/04/2010,4:00 PM,12/05/2010,11:32 AM,found under power lines,,Collision / Stationary object / Powerlines/wires,Yes,Observed,,MD,Baltimore County,,,39.522533,-76.545292,153.6893158
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000131,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Undetermined,,12/10/2010,,12/10/2010,12:49 PM,n/a,,Behavioral Stranding,Yes,Observed,,CA,San Diego County,,,33.020413376711,-116.922706820099,427.608551
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000135,Blue 234,,Birds,American Robin,migratorius,,Turdus,179759,Undetermined,,12/15/2010,7:00 AM,12/15/2010,1:04 PM,unknown,,Animal interaction / Domestic animal / Cat,No,Suspected,,NJ,Middlesex County,,,40.5021894,-74.4065896,38.4161682
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,10-0000135,Blue 234,,Birds,American Robin,migratorius,,Turdus,179759,Undetermined,,12/15/2010,7:00 AM,12/15/2010,1:04 PM,unknown,,Entrapment / Trap / Glue Trap,Yes,Suspected,,NJ,Middlesex County,,,40.5021894,-74.4065896,38.4161682
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0000525,,,Birds,Green Heron,virescens,,Butorides,174793,Undetermined,,01/13/2011,,01/22/2011,2:26 PM,caught in yard,,Projectile / Weapon / Gunshot / Rifle/Handgun,Yes,Observed,,NJ,Morris County,,,40.695248070631,-74.50698611062,68.6322174
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0000526,,,Birds,Mallard,platyrhynchos,,Anas,175063,Undetermined,,01/11/2011,,01/22/2011,1:38 PM,found running down the road,,"Orphan, true / Parents not available",Yes,Suspected,,NJ,Morris County,,,40.863329,-74.736316,323.9306641
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0000976,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Undetermined,,02/16/2011,,02/16/2011,8:49 AM,found in a box by the front door,,Projectile / Weapon / Gunshot / Shotgun,Yes,Suspected,Observed on xray,NV,White Pine County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0000994,00njuu 87,,Mammals,black-tailed jack rabbit,californicus,,Lepus,180115,Female,,02/16/2011,,02/16/2011,12:46 AM,drop off,,"Orphan, true / Parents not available",Yes,Suspected,,VA,Orange County,,,38.9518868,-77.3312517,115.426857
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0000995,Mushy,,Reptiles,Eastern Box Turtle,carolina,carolina,Terrapene,173777,Male,,02/17/2011,1:00 PM,02/17/2011,2:32 AM,box turtle left on door step,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,turtle hit by car,VA,Orange County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001140,r1,,Mammals,Raccoon,lotor,,Procyon,180575,Male,,02/16/2011,,02/23/2011,1:15 PM,HBC,,"Orphan, true / Parents not available",Yes,Observed,,IL,DeKalb County,,,41.9426036,-88.7657794,268.5576477
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001162,,,Mammals,big brown bat,fuscus,,Eptesicus,180008,Undetermined,,02/24/2011,,02/24/2011,12:29 PM,found in the hotel,,Entrapment / Spaces / Building,Yes,Suspected,found in hotel room,VA,Augusta County,,,38.13997302639,-78.872430545963,402.6560364
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001175,1201-11,right ear missing,Mammals,Raccoon,lotor,,Procyon,180575,Male,,02/24/2011,6:30 PM,02/24/2011,8:22 PM,found under tree in front yard,,"Orphan, true / Parents not available",Yes,Suspected,"thin, had fleas",FL,Brevard County,,,28.39865,-80.748728,12.565403
